"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","13-Nov-2015","       2468.80","       2438.05","       2438.05","       2386.55","       2396.00","       2397.40","       2405.31","    1371616","          3299155303.45","      77174","     958618","         69.89"
"TCS","EQ","16-Nov-2015","       2397.40","       2390.00","       2390.00","       2356.00","       2376.00","       2374.60","       2371.62","    1021764","          2423237597.10","      67518","     701532","         68.66"
"TCS","EQ","17-Nov-2015","       2374.60","       2380.50","       2398.45","       2375.00","       2390.00","       2390.55","       2385.85","     992514","          2367989027.85","      58593","     755518","         76.12"
"TCS","EQ","18-Nov-2015","       2390.55","       2388.90","       2388.90","       2346.00","       2349.65","       2351.45","       2358.29","     760176","          1792717016.00","      43678","     506662","         66.65"
"TCS","EQ","19-Nov-2015","       2351.45","       2365.35","       2381.60","       2352.00","       2367.00","       2362.55","       2366.14","     933453","          2208680749.55","      55764","     632570","         67.77"
"TCS","EQ","20-Nov-2015","       2362.55","       2366.50","       2423.55","       2361.95","       2394.50","       2398.35","       2403.22","    1006063","          2417790418.40","      60130","     575994","         57.25"
"TCS","EQ","23-Nov-2015","       2398.35","       2405.30","       2413.40","       2382.25","       2389.30","       2391.05","       2397.62","     544041","          1304405391.85","      42359","     351815","         64.67"
"TCS","EQ","24-Nov-2015","       2391.05","       2380.05","       2392.45","       2365.50","       2366.00","       2367.95","       2378.62","     499320","          1187694596.10","      35776","     342427","         68.58"
"TCS","EQ","26-Nov-2015","       2367.95","       2377.90","       2382.40","       2337.85","       2346.00","       2345.55","       2355.52","    1457646","          3433508896.10","      77452","     969589","         66.52"
"TCS","EQ","27-Nov-2015","       2345.55","       2348.00","       2359.45","       2332.50","       2354.95","       2353.35","       2348.70","     868603","          2040086163.75","      62719","     518858","         59.73"
"TCS","EQ","30-Nov-2015","       2353.35","       2365.00","       2391.25","       2350.15","       2373.55","       2364.70","       2365.21","    2050024","          4848744782.20","      85439","    1102521","         53.78"
"TCS","EQ","01-Dec-2015","       2364.70","       2362.90","       2378.05","       2357.05","       2359.75","       2361.90","       2363.85","     860997","          2035267110.00","      51511","     672976","         78.16"
"TCS","EQ","02-Dec-2015","       2361.90","       2378.00","       2378.10","       2346.50","       2367.00","       2365.20","       2362.86","     820148","          1937896039.75","      38694","     580713","         70.81"
"TCS","EQ","03-Dec-2015","       2365.20","       2360.00","       2373.00","       2347.00","       2350.00","       2350.75","       2356.59","    1141679","          2690467598.75","      41715","     765969","         67.09"
"TCS","EQ","04-Dec-2015","       2350.75","       2340.00","       2347.30","       2321.10","       2330.00","       2328.40","       2330.08","     623046","          1451747348.45","      32999","     426970","         68.53"
"TCS","EQ","07-Dec-2015","       2328.40","       2332.20","       2343.90","       2315.25","       2321.00","       2319.80","       2322.27","     691302","          1605390412.10","      52150","     487587","         70.53"
"TCS","EQ","08-Dec-2015","       2319.80","       2319.40","       2349.00","       2317.30","       2326.25","       2329.00","       2332.95","     569982","          1329739195.55","      47957","     336913","         59.11"
"TCS","EQ","09-Dec-2015","       2329.00","       2337.90","       2372.80","       2320.00","       2370.00","       2367.65","       2361.23","    2641403","          6236953830.25","      59592","    1365071","         51.68"
"TCS","EQ","10-Dec-2015","       2367.65","       2369.00","       2391.20","       2352.00","       2380.95","       2384.55","       2374.82","     861994","          2047084266.50","      52429","     556996","         64.62"
"TCS","EQ","11-Dec-2015","       2384.55","       2383.00","       2391.95","       2363.25","       2383.15","       2386.00","       2384.13","     826189","          1969745818.20","      53651","     598804","         72.48"
"TCS","EQ","14-Dec-2015","       2386.00","       2335.20","       2387.00","       2330.60","       2375.00","       2378.45","       2364.84","    1359266","          3214443353.75","      58637","     758806","         55.82"
